strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,0,dev,250130,2075,30,80.25954671030671,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,1,test,310273,2670,59,13.911138663658376,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,2,dev,474552,3850,46,25.12291046360643,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,3,test,852952,6879,85,22.136572061534974,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,4,dev,1054158,8486,13,18.142151769355173,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,5,test,1131800,9181,3,28.350893969488276,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,6,dev,1172631,9572,18,81.60639641889348,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,7,test,1221675,9978,11,288.31517249918477,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,8,dev,1588091,12620,83,86.6445651929742,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,9,test,1901402,15145,80,315.8116671113993,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,10,dev,1952199,15647,50,6.699698591636034,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,11,test,2159639,17227,46,11.797731185077506,True,29
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,0,dev,250130,2075,30,348.4791332582763,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,1,test,310273,2670,59,36.843164849865474,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,2,dev,474552,3850,46,207.01433164548226,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,3,test,852952,6879,85,90.22915987709963,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,4,dev,1054158,8486,13,178.61078723087863,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,5,test,1131800,9181,3,75.28401012769896,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,6,dev,1172631,9572,18,182.66985687462653,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,7,test,1221675,9978,11,210.71743986982514,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,8,dev,1588091,12620,83,232.29635323658164,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,9,test,1901402,15145,80,223.58575486561153,False,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,10,dev,1952199,15647,50,18.75159934948576,True,0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,True,False,11,test,2159639,17227,46,61.9695724174946,False,0
pd_d192_k3_eval:returned:fixed_step_1,fixed_round,pd_d192_k3_eval,fixed_step_1,returned_means,True,False,0,dev,250130,2075,30,298.50918712371674,False,1
pd_d192_k3_eval:returned:fixed_step_1,fixed_round,pd_d192_k3_eval,fixed_step_1,returned_means,True,False,1,test,310273,2670,59,28.611158739543793,False,1
